Time [s], Analyzer Name, Decoded Protocol Result
3.476676750000000,Simple Parallel,'0'
3.477194500000000,Simple Parallel,'0'
3.477712125000000,Simple Parallel,'0'
3.478229875000000,Simple Parallel,'1'
3.478747500000000,Simple Parallel,'0'
3.479265375000000,Simple Parallel,'0'
3.479783000000000,Simple Parallel,'1'
3.480301250000000,Simple Parallel,'0'
3.480818500000000,Simple Parallel,'1'
3.481336250000000,Simple Parallel,'1'
3.481854000000000,Simple Parallel,'1'
3.482371750000000,Simple Parallel,'0'
3.482889375000000,Simple Parallel,'1'
3.483407125000000,Simple Parallel,'0'
3.483924875000000,Simple Parallel,'1'
3.484443000000000,Simple Parallel,'0'
3.484960250000000,Simple Parallel,'0'
3.485478000000000,Simple Parallel,'0'
3.485995750000000,Simple Parallel,'1'
3.486513375000000,Simple Parallel,'1'
3.487031250000000,Simple Parallel,'1'
3.487549000000000,Simple Parallel,'1'
3.488066750000000,Simple Parallel,'0'
3.488584875000000,Simple Parallel,'1'
3.489102125000000,Simple Parallel,'0'
3.489625875000000,Simple Parallel,'0'
3.490137625000000,Simple Parallel,'0'
3.490655375000000,Simple Parallel,'0'
3.491173000000000,Simple Parallel,'1'
3.491690750000000,Simple Parallel,'1'
3.492208375000000,Simple Parallel,'0'
3.492726500000000,Simple Parallel,'1'
5.263833000000000,Simple Parallel,'0'
5.264350625000000,Simple Parallel,'1'
5.264868375000000,Simple Parallel,'0'
5.265386250000000,Simple Parallel,'1'
5.265903875000000,Simple Parallel,'0'
5.266421625000000,Simple Parallel,'0'
5.266939375000000,Simple Parallel,'0'
5.267457625000000,Simple Parallel,'0'
5.267974875000000,Simple Parallel,'0'
5.268492625000000,Simple Parallel,'0'
5.269010250000000,Simple Parallel,'0'
5.269528125000000,Simple Parallel,'0'
5.270045750000000,Simple Parallel,'0'
5.270563500000000,Simple Parallel,'0'
5.271081250000000,Simple Parallel,'1'
5.271599625000000,Simple Parallel,'1'
5.272116750000000,Simple Parallel,'0'
5.272634500000000,Simple Parallel,'0'
5.273152375000000,Simple Parallel,'0'
5.273670000000000,Simple Parallel,'1'
5.274187750000000,Simple Parallel,'0'
5.274705500000000,Simple Parallel,'0'
5.275223250000000,Simple Parallel,'1'
5.275741500000000,Simple Parallel,'0'
5.276258750000000,Simple Parallel,'0'
5.276776500000000,Simple Parallel,'1'
5.277294250000000,Simple Parallel,'1'
5.277812000000000,Simple Parallel,'0'
5.278329750000000,Simple Parallel,'0'
5.278847500000000,Simple Parallel,'1'
5.279365250000000,Simple Parallel,'0'
5.279883250000000,Simple Parallel,'1'
5.280400625000000,Simple Parallel,'0'
5.280926250000000,Simple Parallel,'0'
5.281435875000000,Simple Parallel,'0'
5.281953625000000,Simple Parallel,'0'
5.282471250000000,Simple Parallel,'1'
5.282989000000000,Simple Parallel,'1'
5.283506625000000,Simple Parallel,'0'
5.284024875000000,Simple Parallel,'1'
5.359156125000000,Simple Parallel,'0'
5.359673875000000,Simple Parallel,'1'
5.360191500000000,Simple Parallel,'0'
5.360709250000000,Simple Parallel,'0'
5.361226875000000,Simple Parallel,'0'
5.361744625000000,Simple Parallel,'0'
5.362262250000000,Simple Parallel,'1'
5.362780375000000,Simple Parallel,'0'
5.363297625000000,Simple Parallel,'0'
5.363815375000000,Simple Parallel,'0'
5.364333125000000,Simple Parallel,'0'
5.364850750000000,Simple Parallel,'1'
5.365368500000000,Simple Parallel,'0'
5.365886250000000,Simple Parallel,'0'
5.366403875000000,Simple Parallel,'1'
5.366922000000000,Simple Parallel,'0'
5.367439250000000,Simple Parallel,'1'
5.367956875000000,Simple Parallel,'1'
5.368474625000000,Simple Parallel,'0'
5.368992250000000,Simple Parallel,'0'
5.369510000000000,Simple Parallel,'0'
5.370027625000000,Simple Parallel,'0'
5.370545375000000,Simple Parallel,'0'
5.371063375000000,Simple Parallel,'1'
5.371580625000000,Simple Parallel,'0'
5.372098250000000,Simple Parallel,'0'
5.372616000000000,Simple Parallel,'0'
5.373133625000000,Simple Parallel,'1'
5.373651250000000,Simple Parallel,'0'
5.374169000000000,Simple Parallel,'1'
5.374686625000000,Simple Parallel,'0'
5.375204750000000,Simple Parallel,'1'
5.375722000000000,Simple Parallel,'0'
5.376245750000000,Simple Parallel,'0'
5.376757375000000,Simple Parallel,'0'
5.377275000000000,Simple Parallel,'0'
5.377792625000000,Simple Parallel,'1'
5.378310250000000,Simple Parallel,'1'
5.378828000000000,Simple Parallel,'0'
5.379346000000000,Simple Parallel,'1'
5.458447500000000,Simple Parallel,'0'
5.458965125000000,Simple Parallel,'1'
5.459483000000000,Simple Parallel,'0'
5.460000500000000,Simple Parallel,'0'
5.460518125000000,Simple Parallel,'0'
5.461035875000000,Simple Parallel,'0'
5.461553625000000,Simple Parallel,'0'
5.462071750000000,Simple Parallel,'1'
5.462589000000000,Simple Parallel,'0'
5.463106625000000,Simple Parallel,'0'
5.463624375000000,Simple Parallel,'0'
5.464142125000000,Simple Parallel,'1'
5.464659750000000,Simple Parallel,'0'
5.465177500000000,Simple Parallel,'0'
5.465695375000000,Simple Parallel,'1'
5.466213375000000,Simple Parallel,'0'
5.466730625000000,Simple Parallel,'1'
5.467248500000000,Simple Parallel,'1'
5.467766250000000,Simple Parallel,'0'
5.468283875000000,Simple Parallel,'0'
5.468801625000000,Simple Parallel,'0'
5.469319375000000,Simple Parallel,'1'
5.469837250000000,Simple Parallel,'0'
5.470355250000000,Simple Parallel,'1'
5.470872500000000,Simple Parallel,'0'
5.471390250000000,Simple Parallel,'0'
5.471908000000000,Simple Parallel,'0'
5.472425750000000,Simple Parallel,'1'
5.472943500000000,Simple Parallel,'1'
5.473461250000000,Simple Parallel,'0'
5.473978875000000,Simple Parallel,'0'
5.474497125000000,Simple Parallel,'0'
5.475014500000000,Simple Parallel,'0'
5.475538250000000,Simple Parallel,'0'
5.476049875000000,Simple Parallel,'0'
5.476567625000000,Simple Parallel,'0'
5.477085375000000,Simple Parallel,'1'
5.477603125000000,Simple Parallel,'1'
5.478121000000000,Simple Parallel,'0'
5.478639000000000,Simple Parallel,'1'
7.249722750000000,Simple Parallel,'0'
7.250240500000000,Simple Parallel,'1'
7.250758125000000,Simple Parallel,'0'
7.251275875000000,Simple Parallel,'1'
7.251793625000000,Simple Parallel,'0'
7.252311375000000,Simple Parallel,'0'
7.252829125000000,Simple Parallel,'0'
7.253347250000000,Simple Parallel,'0'
7.253864500000000,Simple Parallel,'0'
7.254382375000000,Simple Parallel,'0'
7.254900000000000,Simple Parallel,'0'
7.255417750000000,Simple Parallel,'0'
7.255935375000000,Simple Parallel,'0'
7.256453125000000,Simple Parallel,'0'
7.256970875000000,Simple Parallel,'1'
7.257488875000000,Simple Parallel,'1'
7.258006250000000,Simple Parallel,'0'
7.258523875000000,Simple Parallel,'0'
7.259041625000000,Simple Parallel,'0'
